,0,1,2,3,4,5,6
0,The Dark Knight,(2008),16+,152 min,"Action, Crime, Drama",9.0,"
When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice."
1,The Lord of the Rings: The Return of the King,(2003),16+,201 min,"Action, Adventure, Drama",9.0,"
Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring."
2,Inception,(2010),13+,148 min,"Action, Adventure, Sci-Fi",8.8,"
A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster."
3,The Lord of the Rings: The Fellowship of the Ring,(2001),13+,178 min,"Action, Adventure, Drama",8.8,"
A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron."
4,The Lord of the Rings: The Two Towers,(2002),16+,179 min,"Action, Adventure, Drama",8.8,"
While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard."
5,The Matrix,(1999),18+,136 min,"Action, Sci-Fi",8.7,"
When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence."
6,The Empire Strikes Back,(1980),7+,124 min,"Action, Adventure, Fantasy",8.7,"
After the Rebels are overpowered by the Empire, Luke Skywalker begins his Jedi training with Yoda, while his friends are pursued across the galaxy by Darth Vader and bounty hunter Boba Fett."
7,Soorarai Pottru,(2020),---,153 min,"Action, Drama",8.7,"
Nedumaaran Rajangam ""Maara"" sets out to make the common man fly and in the process takes on the world's most capital intensive industry and several enemies who stand in his way."
8,Star Wars,(1977),G,121 min,"Action, Adventure, Fantasy",8.6,"
Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader."
9,Terminator 2: Judgment Day,(1991),15+,137 min,"Action, Sci-Fi",8.6,"
A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her 10-year old son John from an even more advanced and powerful cyborg."
10,Shichinin no samurai,(1954),---,207 min,"Action, Drama",8.6,"
Farmers from a village exploited by bandits hire a veteran samurai for protection, who gathers six other samurai to join him."
11,Seppuku,(1962),---,133 min,"Action, Drama, Mystery",8.6,"
When a ronin requesting seppuku at a feudal lord's palace is told of the brutal suicide of another ronin who previously visited, he reveals how their pasts are intertwined - and in doing so challenges the clan's integrity."
12,Sita Ramam,(2022),G,163 min,"Action, Drama, Mystery",8.6,"
An orphan soldier, Lieutenant Ram's life changes, after he gets a letter from a girl named Sita. He meets her and love blossoms between them. When he comes back to his camp in Kashmir,After he gets caught in jail, he sends a letter to Sita which won't reach her."
13,Gladiator,(2000),16+,155 min,"Action, Adventure, Drama",8.5,"
A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery."
14,Léon,(1994),18+,110 min,"Action, Crime, Drama",8.5,"
12-year-old Mathilda is reluctantly taken in by Léon, a professional assassin, after her family is murdered. An unusual relationship forms as she becomes his protégée and learns the assassin's trade."
15,Kaithi,(2019),---,145 min,"Action, Adventure, Crime",8.5,"
Dilli, an ex-convict, endeavours to meet his daughter for the first time after leaving prison. However, his attempts are interrupted due to a drug raid planned by Inspector Bejoy."
16,Avengers: Endgame,(2019),15A,181 min,"Action, Adventure, Drama",8.4,"
After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe."
17,Spider-Man: Into the Spider-Verse,(2018),7+,117 min,"Animation, Action, Adventure",8.4,"
Teen Miles Morales becomes the Spider-Man of his universe, and must join with five spider-powered individuals from other dimensions to stop a threat for all realities."
18,Raiders of the Lost Ark,(1981),16+,115 min,"Action, Adventure",8.4,"
In 1936, archaeologist and adventurer Indiana Jones is hired by the U.S. government to find the Ark of the Covenant before the Nazis can obtain its awesome powers."
19,Oldeuboi,(2003),18+,120 min,"Action, Drama, Mystery",8.4,"
After being kidnapped and imprisoned for fifteen years, Oh Dae-Su is released, only to find that he must find his captor in five days."
20,The Dark Knight Rises,(2012),13A,164 min,"Action, Drama, Thriller",8.4,"
Eight years after the Joker's reign of chaos, Batman is coerced out of exile with the assistance of the mysterious Selina Kyle in order to defend Gotham City from the vicious guerrilla terrorist Bane."
21,Aliens,(1986),18+,137 min,"Action, Adventure, Sci-Fi",8.4,"
Decades after surviving the Nostromo incident, Ellen Ripley is sent out to re-establish contact with a terraforming colony but finds herself battling the Alien Queen and her offspring."
22,Avengers: Infinity War,(2018),13+,149 min,"Action, Adventure, Sci-Fi",8.4,"
The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe."
23,Asuran,(2019),---,141 min,"Action, Drama",8.4,"
The teenage son of a farmer from an underprivileged caste kills a rich, upper caste landlord. Will the farmer, a loving father and a pacifist by heart, be able to save his hot-blooded son is the rest of the story."
24,Top Gun: Maverick,(2022),10+,130 min,"Action, Drama",8.3,"
After thirty years, Maverick is still pushing the envelope as a top naval aviator, but must confront ghosts of his past when he leads TOP GUN's elite graduates on a mission that demands the ultimate sacrifice from those chosen to fly it."
25,Heat,(1995),18+,170 min,"Action, Crime, Drama",8.3,"
A group of high-end professional thieves start to feel the heat from the LAPD when they unknowingly leave a clue at their latest heist."
26,Star Wars: Episode VI - Return of the Jedi,(1983),7+,131 min,"Action, Adventure, Fantasy",8.3,"
After rescuing Han Solo from Jabba the Hutt, the Rebels attempt to destroy the second Death Star, while Luke struggles to help Darth Vader back from the dark side."
27,Mononoke-hime,(1997),13+,134 min,"Animation, Action, Adventure",8.3,"
On a journey to find the cure for a Tatarigami's curse, Ashitaka finds himself in the middle of a war between the forest gods and Tatara, a mining colony. In this quest he also meets San, the Mononoke Hime."
28,North by Northwest,(1959),13A,136 min,"Action, Adventure, Mystery",8.3,"
A New York City advertising executive goes on the run after being mistaken for a government agent by a group of foreign spies, and falls for a woman whose loyalties he begins to doubt."
29,Dangal,(2016),7+,161 min,"Action, Biography, Drama",8.3,"
Former wrestler Mahavir Singh Phogat and his two wrestler daughters struggle towards glory at the Commonwealth Games in the face of societal oppression."
30,Kantara,(2022),---,148 min,"Action, Adventure, Drama",8.3,"
When greed paves the way for betrayal, scheming and murder, a young tribal reluctantly dons the traditions of his ancestors to seek justice."
31,K.G.F: Chapter 2,(2022),---,168 min,"Action, Crime, Drama",8.3,"
In the blood-soaked Kolar Gold Fields, Rocky's name strikes fear into his foes. While his allies look up to him, the government sees him as a threat to law and order. Rocky must battle threats from all sides for unchallenged supremacy."
32,Vikram,(2022),---,175 min,"Action, Crime, Thriller",8.3,"
A high-octane action film where a special investigator is assigned a case of serial Killings, he finds the case is not what it seems to be and leading down this path is only going to end in a war between everyone involved."
33,Ratsasan,(2018),---,170 min,"Action, Crime, Drama",8.3,"
A sub-inspector sets out in pursuit of a mysterious serial killer who targets teen school girls and murders them brutally."
34,Shershaah,(2021),13+,135 min,"Action, Biography, Drama",8.3,"
Shershaah is the story of PVC awardee Indian soldier Capt. Vikram Batra, whose bravery and unflinching courage in chasing the Pakistani soldiers out of Indian territory contributed immensely in India finally winning the Kargil War in 1999."
35,John Wick: Chapter 4,(2023),R,169 min,"Action, Crime, Thriller",8.2,"
John Wick uncovers a path to defeating The High Table. But before he can earn his freedom, Wick must face off against a new enemy with powerful alliances across the globe and forces that turn old friends into foes."
36,Spider-Man: No Way Home,(2021),10+,148 min,"Action, Adventure, Fantasy",8.2,"
With Spider-Man's identity now revealed, Peter asks Doctor Strange for help. When a spell goes wrong, dangerous foes from other worlds start to appear, forcing Peter to discover what it truly means to be Spider-Man."
37,Jurassic Park,(1993),16+,127 min,"Action, Adventure, Sci-Fi",8.2,"
A pragmatic paleontologist touring an almost complete theme park on an island in Central America is tasked with protecting a couple of kids after a power failure causes the park's cloned dinosaurs to run loose."
38,Kill Bill: Vol. 1,(2003),18+,111 min,"Action, Crime, Drama",8.2,"
After awakening from a four-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her."
39,1917,(2019),16+,119 min,"Action, Drama, War",8.2,"
April 6th, 1917. As an infantry battalion assembles to wage war deep in enemy territory, two soldiers are assigned to race against time and deliver a message that will stop 1,600 men from walking straight into a deadly trap."
40,Batman Begins,(2005),13+,140 min,"Action, Crime, Drama",8.2,"
After training with his mentor, Batman begins his fight to free crime-ridden Gotham City from corruption."
41,Indiana Jones and the Last Crusade,(1989),13+,127 min,"Action, Adventure",8.2,"
In 1938, after his father goes missing while pursuing the Holy Grail, Indiana Jones finds himself up against the Nazis again to stop them from obtaining its powers."
42,Die Hard,(1988),13+,132 min,"Action, Thriller",8.2,"
A New York City police officer tries to save his estranged wife and several others taken hostage by terrorists during a Christmas party at the Nakatomi Plaza in Los Angeles."
43,V for Vendetta,(2005),15+,132 min,"Action, Drama, Sci-Fi",8.2,"
In a future British dystopian society, a shadowy freedom fighter, known only by the alias of ""V"", plots to overthrow the tyrannical government - with the help of a young woman."
