,0,1,2,3,4,5,6
0,Schindler's List,(1993),18+,195 min,"Biography, Drama, History",9.0,"
In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis."
1,Rocketry: The Nambi Effect,(2022),13+,157 min,"Biography, Drama",8.8,"
Based on the life of Indian Space Research Organization scientist Nambi Narayanan, who was framed for being a spy and arrested in 1994. Though free, he continues to fight for justice against the officials who falsely implicated him."
2,GoodFellas,(1990),18+,145 min,"Biography, Crime, Drama",8.7,"
The story of Henry Hill and his life in the mob, covering his relationship with his wife Karen Hill and his mob partners Jimmy Conway and Tommy DeVito in the Italian-American crime syndicate."
3,The Pianist,(2002),18+,150 min,"Biography, Drama, Music",8.5,"
A Polish Jewish musician struggles to survive the destruction of the Warsaw ghetto of World War II."
4,The Intouchables,(2011),18+,112 min,"Biography, Comedy, Drama",8.5,"
After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver."
5,Braveheart,(1995),13+,178 min,"Biography, Drama, History",8.4,"
Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England."
6,Amadeus,(1984),15A,160 min,"Biography, Drama, Music",8.4,"
The life, success and troubles of Wolfgang Amadeus Mozart, as told by Antonio Salieri, the contemporaneous composer who was deeply jealous of Mozart's talent and claimed to have murdered him."
7,Sardar Udham,(2021),16+,164 min,"Biography, Crime, Drama",8.4,"
A biopic detailing the 2 decades that Punjabi Sikh revolutionary Udham Singh spent planning the assassination of the man responsible for the Jallianwala Bagh massacre."
8,Hamilton,(2020),PG-13,160 min,"Biography, Drama, History",8.3,"
The real life of one of America's foremost founding fathers and first Secretary of the Treasury, Alexander Hamilton. Captured live on Broadway from the Richard Rodgers Theater with the original Broadway cast."
9,Lawrence of Arabia,(1962),13A,218 min,"Adventure, Biography, Drama",8.3,"
The story of T.E. Lawrence, the English officer who successfully united and led the diverse, often warring, Arab tribes during World War I in order to fight the Turks."
10,Dangal,(2016),7+,161 min,"Action, Biography, Drama",8.3,"
Former wrestler Mahavir Singh Phogat and his two wrestler daughters struggle towards glory at the Commonwealth Games in the face of societal oppression."
11,Shershaah,(2021),13+,135 min,"Action, Biography, Drama",8.3,"
Shershaah is the story of PVC awardee Indian soldier Capt. Vikram Batra, whose bravery and unflinching courage in chasing the Pakistani soldiers out of Indian territory contributed immensely in India finally winning the Kargil War in 1999."
