,0,1,2,3,4,5,6
0,Schindler's List,(1993),18+,195 min,"Biography, Drama, History",9.0,"
In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis."
1,Braveheart,(1995),13+,178 min,"Biography, Drama, History",8.4,"
Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England."
2,Sardar Udham,(2021),16+,164 min,"Biography, Crime, Drama",8.4,"
A biopic detailing the 2 decades that Punjabi Sikh revolutionary Udham Singh spent planning the assassination of the man responsible for the Jallianwala Bagh massacre."
3,Hamilton,(2020),PG-13,160 min,"Biography, Drama, History",8.3,"
The real life of one of America's foremost founding fathers and first Secretary of the Treasury, Alexander Hamilton. Captured live on Broadway from the Richard Rodgers Theater with the original Broadway cast."
4,Ayla: The Daughter of War,(2017),7+,125 min,"Biography, Drama, History",8.3,"
In 1950, amidst the ravages of the Korean War, Sergeant Süleyman stumbles upon a half-frozen little girl with no parents, and no help in sight. Frantic, scared and on the verge of death, ...                See full summary »
"
5,Der Untergang,(2004),7+,156 min,"Biography, Drama, History",8.2,"
Traudl Junge, the final secretary for Adolf Hitler, tells of the Nazi dictator's final days in his Berlin bunker at the end of WWII."
6,The Great Escape,(1963),---,172 min,"Adventure, Drama, History",8.2,"
Allied prisoners of war plan for several hundred of their number to escape from a German camp during World War II."
7,La passion de Jeanne d'Arc,(1928),---,110 min,"Biography, Drama, History",8.2,"
In 1431, Jeanne d'Arc is placed on trial on charges of heresy. The ecclesiastical jurists attempt to force Jeanne to recant her claims of holy visions."
8,Uri: The Surgical Strike,(2019),---,138 min,"Action, Drama, History",8.2,"
Indian army special forces execute a covert operation, avenging the killing of fellow army men at their base by a terrorist group."
9,Hacksaw Ridge,(2016),15+,139 min,"Biography, Drama, History",8.1,"
World War II American Army Medic Desmond T. Doss, who served during the Battle of Okinawa, refuses to kill people and becomes the first man in American history to receive the Medal of Honor without firing a shot."
10,12 Years a Slave,(2013),15+,134 min,"Biography, Drama, History",8.1,"
In the antebellum United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery."
11,Hotel Rwanda,(2004),16+,121 min,"Biography, Drama, History",8.1,"
Paul Rusesabagina, a hotel manager, houses over a thousand Tutsi refugees during their struggle against the Hutu militia in Rwanda, Africa."
12,The Message,(1976),---,177 min,"Biography, Drama, History",8.1,"
This epic historical drama chronicles the life and times of Prophet Muhammad and serves as an introduction to early Islamic history."
13,Andrei Rublev,(1966),---,205 min,"Biography, Drama, History",8.1,"
The life, times and afflictions of the fifteenth-century Russian iconographer St. Andrei Rublev."
14,Inherit the Wind,(1960),---,128 min,"Biography, Drama, History",8.1,"
Based on a real-life case in 1925, two great lawyers argue the case for and against a Tennessee science teacher accused of the crime of teaching evolution."
15,JFK,(1991),15+,189 min,"Drama, History, Thriller",8.0,"
New Orleans District Attorney Jim Garrison discovers there's more to the Kennedy assassination than the official story."
16,The King's Speech,(2010),G,118 min,"Biography, Drama, History",8.0,"
The story of King George VI, his impromptu ascension to the throne of the British Empire in 1936, and the speech therapist who helped the unsure monarch overcome his stammer."
17,Ip Man,(2008),R,106 min,"Action, Biography, Drama",8.0,"
During the Japanese invasion of China, a wealthy martial artist is forced to leave his home when his city is occupied. With little means of providing for themselves, Ip Man and the remaining members of the city must find a way to survive."
18,Gandhi,(1982),---,191 min,"Biography, Drama, History",8.0,"
The life of the lawyer who became the famed leader of the Indian revolts against the British rule through his philosophy of nonviolent protest."
19,Il gattopardo,(1963),---,186 min,"Drama, History",8.0,"
The Prince of Salina, a noble aristocrat of impeccable integrity, tries to preserve his family and class amid the tumultuous social upheavals of 1860s Sicily."
20,Persepolis,(2007),G,96 min,"Animation, Biography, Drama",8.0,"
A precocious and outspoken Iranian girl grows up during the Islamic Revolution."
21,"Quo vadis, Aida?",(2020),---,101 min,"Drama, History, War",8.0,"
Aida is a translator for the UN in the small town of Srebrenica. When the Serbian army takes over the town, her family is among the thousands of citizens looking for shelter in the UN camp."
22,The Ten Commandments,(1956),---,220 min,"Adventure, Drama, Family",7.9,"
Moses, raised as a prince of Egypt in the Pharaoh's household, learns of his true heritage as a Hebrew and his divine mission as the deliverer of his people from slavery."
23,Spartacus,(1960),G,197 min,"Adventure, Biography, Drama",7.9,"
The slave Spartacus survives brutal training as a gladiator and leads a violent revolt against the decadent Roman Republic, as the ambitious Crassus seeks to gain power by crushing the uprising."
24,All the President's Men,(1976),---,138 min,"Drama, History, Thriller",7.9,"
""The Washington Post"" reporters Bob Woodward and Carl Bernstein uncover the details of the Watergate scandal that leads to President Richard Nixon's resignation."
25,Letters from Iwo Jima,(2006),R,141 min,"Action, Adventure, Drama",7.9,"
The story of the battle of Iwo Jima between the United States and Imperial Japan during World War II, as told from the perspective of the Japanese who fought it."
26,Togo,(2019),PG,113 min,"Adventure, Biography, Drama",7.9,"
The story of Togo, the sled dog who led the 1925 serum run despite being considered too small and weak to lead such an intense race."
27,Taeksi woonjunsa,(2017),---,137 min,"Action, Drama, History",7.9,"
A widowed father and taxi driver who drives a German reporter from Seoul to Gwangju to cover the 1980 uprising, soon finds himself regretting his decision after being caught in the violence around him."
