,0,1,2,3,4,5,6
0,Alien,(1979),18+,117 min,"Horror, Sci-Fi",8.5,"
The crew of a commercial spacecraft encounter a deadly lifeform after investigating an unknown transmission."
1,Psycho,(1960),13+,109 min,"Horror, Mystery, Thriller",8.5,"
A Phoenix secretary embezzles $40,000 from her employer's client, goes on the run and checks into a remote motel run by a young man under the domination of his mother."
2,The Shining,(1980),18+,146 min,"Drama, Horror",8.4,"
A family heads to an isolated hotel for the winter where a sinister presence influences the father into violence, while his psychic son sees horrific forebodings from both past and future."
3,The Thing,(1982),18+,109 min,"Horror, Mystery, Sci-Fi",8.2,"
A research team in Antarctica is hunted by a shape-shifting alien that assumes the appearance of its victims."
4,Tumbbad,(2018),---,104 min,"Drama, Fantasy, Horror",8.2,"
A mythological story about a goddess who created the entire universe. The plot revolves around the consequences when humans build a temple for her first-born."
5,The Exorcist,(1973),18+,122 min,Horror,8.1,"
When a teenage girl is possessed by a mysterious entity, her mother seeks the help of two priests to save her daughter."
6,Les diaboliques,(1955),---,117 min,"Crime, Drama, Horror",8.1,"
The wife and mistress of a loathed school principal plan to murder him with what they believe is the perfect alibi."
7,What Ever Happened to Baby Jane?,(1962),---,134 min,"Drama, Horror, Thriller",8.0,"
A former child star torments her paraplegic sister in their decaying Hollywood mansion."
8,Rosemary's Baby,(1968),---,137 min,"Drama, Horror",8.0,"
A young couple trying for a baby moves into an aging, ornate apartment building on Central Park West, where they find themselves surrounded by peculiar neighbors."
9,Das Cabinet des Dr. Caligari,(1920),---,76 min,"Horror, Mystery, Thriller",8.0,"
Hypnotist Dr. Caligari uses a somnambulist, Cesare, to commit murders."
10,The Blue Elephant,(2014),---,170 min,"Drama, Horror, Mystery",8.0,"
The story of Dr. Yehia, a psychotherapist at Al Abbasia hospital. He works in the department treating the criminally insane, only to find his best friend to be one of the patients. Trying ...                See full summary »
"
11,Shaun of the Dead,(2004),18+,99 min,"Comedy, Horror",7.9,"
The uneventful, aimless lives of a London electronics salesman and his layabout roommate are disrupted by the zombie apocalypse."
12,Nosferatu,(1922),---,94 min,"Fantasy, Horror",7.9,"
Vampire Count Orlok expresses interest in a new residence and real estate agent Hutter's wife."
13,Låt den rätte komma in,(2008),15+,114 min,"Drama, Fantasy, Horror",7.9,"
Oskar, an overlooked and bullied boy, finds love and revenge through Eli, a beautiful but peculiar girl."
14,King Kong,(1933),---,100 min,"Adventure, Horror, Sci-Fi",7.9,"
A film crew goes to a tropical island for a location shoot, where they capture a colossal ape who takes a shine to their blonde starlet, and bring him back to New York City."
15,Predator,(1987),18+,107 min,"Action, Adventure, Horror",7.8,"
A team of commandos on a mission in a Central American jungle find themselves hunted by an extraterrestrial warrior."
16,Ang-ma-reul bo-at-da,(2010),18+,144 min,"Action, Crime, Drama",7.8,"
A secret agent exacts revenge on a serial killer through a series of captures and releases."
17,Dawn of the Dead,(1978),---,127 min,"Horror, Thriller",7.8,"
During an escalating zombie epidemic, two Philadelphia SWAT team members, a traffic reporter and his TV executive girlfriend seek refuge in a secluded shopping mall."
18,Night of the Living Dead,(1968),---,96 min,"Horror, Thriller",7.8,"
A ragtag group of Pennsylvanians barricade themselves in an old farmhouse to remain safe from a horde of flesh-eating ghouls that are ravaging the East Coast of the United States."
19,Freaks,(1932),---,64 min,"Drama, Horror",7.8,"
A circus' beautiful trapeze artist agrees to marry the leader of side-show performers, but his deformed friends discover she is only marrying him for his inheritance."
20,Frankenstein,(1931),---,70 min,"Drama, Horror, Sci-Fi",7.8,"
Dr. Frankenstein dares to tamper with life and death by creating a human monster out of lifeless body parts."
21,Bride of Frankenstein,(1935),---,75 min,"Drama, Horror, Sci-Fi",7.8,"
Mary Shelley reveals the main characters of her novel survived: Dr. Frankenstein, goaded by an even madder scientist, builds his monster a mate."
22,The Innocents,(1961),---,100 min,Horror,7.8,"
A young governess for two children becomes convinced that the house and grounds are haunted."
23,Evil Dead II,(1987),18+,84 min,"Comedy, Horror",7.7,"
The lone survivor of an onslaught of flesh-possessing spirits holes up in a cabin with a group of strangers while the demons continue their attack."
24,Get Out,(I) (2017),15+,104 min,"Horror, Mystery, Thriller",7.7,"
A young African-American visits his White girlfriend's parents for the weekend, where his simmering uneasiness about their reception of him eventually reaches a boiling point."
25,Halloween,(1978),18+,91 min,"Horror, Thriller",7.7,"
Fifteen years after murdering his sister on Halloween night 1963, Michael Myers escapes from a mental hospital and returns to the small town of Haddonfield, Illinois to kill again."
26,Invasion of the Body Snatchers,(1956),---,80 min,"Drama, Horror, Sci-Fi",7.7,"
A small-town doctor learns that the population of his community is being replaced by emotionless alien duplicates."
27,American Psycho,(2000),18+,102 min,"Crime, Drama, Horror",7.6,"
A wealthy New York City investment banking executive, Patrick Bateman, hides his alternate psychopathic ego from his co-workers and friends as he delves deeper into his violent, hedonistic fantasies."
28,The Others,(2001),13+,101 min,"Horror, Mystery, Thriller",7.6,"
A woman who lives in her darkened old family house with her two photosensitive children becomes convinced that the home is haunted."
29,The Birds,(1963),G,119 min,"Drama, Horror, Mystery",7.6,"
A wealthy San Francisco socialite pursues a potential boyfriend to a small Northern California town that slowly takes a turn for the bizarre when birds of all kinds suddenly begin to attack people."
30,Saw,(2004),18+,103 min,"Horror, Mystery, Thriller",7.6,"
Two strangers awaken in a room with no recollection of how they got there, and soon discover they're pawns in a deadly game perpetrated by a notorious serial killer."
31,Zombieland,(2009),18+,88 min,"Action, Comedy, Horror",7.6,"
A shy student trying to reach his family in Ohio, a gun-toting bruiser in search of the last Twinkie and a pair of sisters striving to get to an amusement park join forces in a trek across a zombie-filled America."
32,Busanhaeng,(2016),15+,118 min,"Action, Horror, Thriller",7.6,"
While a zombie virus breaks out in South Korea, passengers struggle to survive on the train from Seoul to Busan."
33,The Fly,(1986),18+,96 min,"Drama, Horror, Sci-Fi",7.6,"
A brilliant but eccentric scientist begins to transform into a giant man/fly hybrid after one of his experiments goes horribly wrong."
34,What We Do in the Shadows,(2014),R,86 min,"Comedy, Horror",7.6,"
Viago, Deacon, and Vladislav are vampires who are struggling with the mundane aspects of modern life, like paying rent, keeping up with the chore wheel, trying to get into nightclubs, and overcoming flatmate conflicts."
35,La piel que habito,(2011),15+,120 min,"Drama, Horror, Mystery",7.6,"
A brilliant plastic surgeon, haunted by past tragedies, creates a type of synthetic skin that withstands any kind of damage. His guinea pig: a mysterious and volatile woman who holds the key to his obsession."
36,Repulsion,(1965),---,105 min,"Drama, Horror, Thriller",7.6,"
A sex-repulsed woman who disapproves of her sister's boyfriend sinks into depression and has horrific visions of rape and violence."
37,Peeping Tom,(1960),---,101 min,"Drama, Horror, Thriller",7.6,"
A young man murders women, using a movie camera to film their dying expressions of terror."
38,Kamera o tomeru na!,(2017),---,96 min,"Comedy, Drama, Horror",7.6,"
Things go badly for a hack director and film crew shooting a low budget zombie movie in an abandoned WWII Japanese facility, when they are attacked by real zombies."
39,Les yeux sans visage,(1960),---,90 min,"Drama, Horror",7.6,"
A surgeon causes an accident which leaves his daughter disfigured and goes to extreme lengths to give her a new face."
