,0,1,2,3,4,5,6
0,The Lord of the Rings: The Return of the King,(2003),16+,201 min,"Action, Adventure, Drama",9.0,"
Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring."
1,Inception,(2010),13+,148 min,"Action, Adventure, Sci-Fi",8.8,"
A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster."
2,The Lord of the Rings: The Fellowship of the Ring,(2001),13+,178 min,"Action, Adventure, Drama",8.8,"
A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron."
3,The Lord of the Rings: The Two Towers,(2002),16+,179 min,"Action, Adventure, Drama",8.8,"
While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard."
4,"Il buono, il brutto, il cattivo",(1966),15+,161 min,"Adventure, Western",8.8,"
A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery."
5,777 Charlie,(2022),---,164 min,"Adventure, Comedy, Drama",8.8,"
Dharma is stuck in a rut with his negative and lonely lifestyle and spends each day in the comfort of his loneliness. A pup named Charlie enters his life and gives him a new perspective towards it."
6,The Empire Strikes Back,(1980),7+,124 min,"Action, Adventure, Fantasy",8.7,"
After the Rebels are overpowered by the Empire, Luke Skywalker begins his Jedi training with Yoda, while his friends are pursued across the galaxy by Darth Vader and bounty hunter Boba Fett."
7,Interstellar,(2014),13A,169 min,"Adventure, Drama, Sci-Fi",8.6,"
A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival."
8,Star Wars,(1977),G,121 min,"Action, Adventure, Fantasy",8.6,"
Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader."
9,Sen to Chihiro no kamikakushi,(2001),G,125 min,"Animation, Adventure, Family",8.6,"
During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches and spirits, a world where humans are changed into beasts."
10,Gladiator,(2000),16+,155 min,"Action, Adventure, Drama",8.5,"
A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery."
11,Back to the Future,(1985),13+,116 min,"Adventure, Comedy, Sci-Fi",8.5,"
Marty McFly, a 17-year-old high school student, is accidentally sent 30 years into the past in a time-traveling DeLorean invented by his close friend, the maverick scientist Doc Brown."
12,The Lion King,(1994),G,88 min,"Animation, Adventure, Drama",8.5,"
Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself."
13,Kaithi,(2019),---,145 min,"Action, Adventure, Crime",8.5,"
Dilli, an ex-convict, endeavours to meet his daughter for the first time after leaving prison. However, his attempts are interrupted due to a drug raid planned by Inspector Bejoy."
14,Avengers: Endgame,(2019),15A,181 min,"Action, Adventure, Drama",8.4,"
After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe."
15,Spider-Man: Into the Spider-Verse,(2018),7+,117 min,"Animation, Action, Adventure",8.4,"
Teen Miles Morales becomes the Spider-Man of his universe, and must join with five spider-powered individuals from other dimensions to stop a threat for all realities."
16,Raiders of the Lost Ark,(1981),16+,115 min,"Action, Adventure",8.4,"
In 1936, archaeologist and adventurer Indiana Jones is hired by the U.S. government to find the Ark of the Covenant before the Nazis can obtain its awesome powers."
17,Aliens,(1986),18+,137 min,"Action, Adventure, Sci-Fi",8.4,"
Decades after surviving the Nostromo incident, Ellen Ripley is sent out to re-establish contact with a terraforming colony but finds herself battling the Alien Queen and her offspring."
18,Avengers: Infinity War,(2018),13+,149 min,"Action, Adventure, Sci-Fi",8.4,"
The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe."
19,Coco,(I) (2017),7+,105 min,"Animation, Adventure, Comedy",8.4,"
Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer."
20,WALL·E,(2008),G,98 min,"Animation, Adventure, Family",8.4,"
In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind."
21,Inglourious Basterds,(2009),15+,153 min,"Adventure, Drama, War",8.3,"
In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same."
22,2001: A Space Odyssey,(1968),G,149 min,"Adventure, Sci-Fi",8.3,"
After uncovering a mysterious artifact buried beneath the Lunar surface, a spacecraft is sent to Jupiter to find its origins - a spacecraft manned by two men and the supercomputer H.A.L. 9000."
23,Star Wars: Episode VI - Return of the Jedi,(1983),7+,131 min,"Action, Adventure, Fantasy",8.3,"
After rescuing Han Solo from Jabba the Hutt, the Rebels attempt to destroy the second Death Star, while Luke struggles to help Darth Vader back from the dark side."
24,Toy Story,(1995),G,81 min,"Animation, Adventure, Comedy",8.3,"
A cowboy doll is profoundly threatened and jealous when a new spaceman action figure supplants him as top toy in a boy's bedroom."
25,Up,(2009),G,96 min,"Animation, Adventure, Comedy",8.3,"
78-year-old Carl Fredricksen travels to Paradise Falls in his house equipped with balloons, inadvertently taking a young stowaway."
26,Lawrence of Arabia,(1962),13A,218 min,"Adventure, Biography, Drama",8.3,"
The story of T.E. Lawrence, the English officer who successfully united and led the diverse, often warring, Arab tribes during World War I in order to fight the Turks."
27,Mononoke-hime,(1997),13+,134 min,"Animation, Action, Adventure",8.3,"
On a journey to find the cure for a Tatarigami's curse, Ashitaka finds himself in the middle of a war between the forest gods and Tatara, a mining colony. In this quest he also meets San, the Mononoke Hime."
28,Toy Story 3,(2010),G,103 min,"Animation, Adventure, Comedy",8.3,"
The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home."
29,North by Northwest,(1959),13A,136 min,"Action, Adventure, Mystery",8.3,"
A New York City advertising executive goes on the run after being mistaken for a government agent by a group of foreign spies, and falls for a woman whose loyalties he begins to doubt."
30,Kantara,(2022),---,148 min,"Action, Adventure, Drama",8.3,"
When greed paves the way for betrayal, scheming and murder, a young tribal reluctantly dons the traditions of his ancestors to seek justice."
31,Spider-Man: No Way Home,(2021),10+,148 min,"Action, Adventure, Fantasy",8.2,"
With Spider-Man's identity now revealed, Peter asks Doctor Strange for help. When a spell goes wrong, dangerous foes from other worlds start to appear, forcing Peter to discover what it truly means to be Spider-Man."
32,Jurassic Park,(1993),16+,127 min,"Action, Adventure, Sci-Fi",8.2,"
A pragmatic paleontologist touring an almost complete theme park on an island in Central America is tasked with protecting a couple of kids after a power failure causes the park's cloned dinosaurs to run loose."
