,0,1,2,3,4,5,6
0,Whiplash,(2014),13+,106 min,"Drama, Music",8.5,"
A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential."
1,The Pianist,(2002),18+,150 min,"Biography, Drama, Music",8.5,"
A Polish Jewish musician struggles to survive the destruction of the Warsaw ghetto of World War II."
2,Amadeus,(1984),15A,160 min,"Biography, Drama, Music",8.4,"
The life, success and troubles of Wolfgang Amadeus Mozart, as told by Antonio Salieri, the contemporaneous composer who was deeply jealous of Mozart's talent and claimed to have murdered him."
3,Coco,(I) (2017),7+,105 min,"Animation, Adventure, Comedy",8.4,"
Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer."
4,Green Book,(2018),7+,130 min,"Biography, Comedy, Drama",8.2,"
A working-class Italian-American bouncer becomes the driver for an African-American classical pianist on a tour of venues through the 1960s American South."
5,Some Like It Hot,(1959),---,121 min,"Comedy, Music, Romance",8.2,"
After two male musicians witness a mob hit, they flee the state in an all-female band disguised as women, but further complications set in."
6,Ba wang bie ji,(1993),R,171 min,"Drama, Music, Romance",8.1,"
Two boys meet at an opera training school in Peking in 1924. Their resulting friendship will span nearly 70 years and will endure some of the most troublesome times in China's history."
7,The Red Shoes,(1948),---,135 min,"Drama, Music, Romance",8.1,"
A young ballet dancer is torn between the man she loves and her pursuit to become a prima ballerina."
8,Höstsonaten,(1978),---,99 min,"Drama, Music",8.1,"
A devoted wife is visited by her mother, a successful concert pianist who had little time for her when she was young."
9,La La Land,(2016),G,128 min,"Comedy, Drama, Music",8.0,"
While navigating their careers in Los Angeles, a pianist and an actress fall in love while attempting to reconcile their aspirations for the future."
10,CODA,(2021),PG-13,111 min,"Comedy, Drama, Music",8.0,"
As a CODA (Child of Deaf Adults) Ruby is the only hearing person in her deaf family. When the family's fishing business is threatened, Ruby finds herself torn between pursuing her passion at Berklee College of Music and her fear of abandoning her parents."
11,Soul,(2020),7+,100 min,"Animation, Adventure, Comedy",8.0,"
After landing the gig of a lifetime, a New York jazz pianist suddenly finds himself trapped in a strange land between Earth and the afterlife."
12,Pink Floyd: The Wall,(1982),15+,95 min,"Drama, Fantasy, Music",8.0,"
A confined but troubled rock star descends into madness in the midst of his physical and social isolation from everyone."
