,0,1,2,3,4,5,6
0,The Lion King,(1994),G,88 min,"Animation, Adventure, Drama",8.5,"
Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself."
1,Hamilton,(2020),PG-13,160 min,"Biography, Drama, History",8.3,"
The real life of one of America's foremost founding fathers and first Secretary of the Treasury, Alexander Hamilton. Captured live on Broadway from the Richard Rodgers Theater with the original Broadway cast."
2,Singin' in the Rain,(1952),G,103 min,"Comedy, Musical, Romance",8.3,"
A silent film star falls for a chorus girl just as he and his delusionally jealous screen partner are trying to make the difficult transition to talking pictures in 1920s Hollywood."
3,Zindagi Na Milegi Dobara,(2011),---,155 min,"Comedy, Drama, Musical",8.2,"
Three friends decide to turn their fantasy vacation into reality after one of their friends gets engaged."
4,"Swades: We, the People",(2004),---,210 min,"Drama, Musical",8.2,"
A successful Indian scientist returns to an Indian village to take his nanny to America with him and in the process rediscovers his roots."
5,The Wizard of Oz,(1939),PG,102 min,"Adventure, Family, Fantasy",8.1,"
Young Dorothy Gale and her dog Toto are swept away by a tornado from their Kansas farm to the magical Land of Oz, and embark on a quest with three new friends to see the Wizard, who can return her to her home and fulfill the others' wishes."
6,The Sound of Music,(1965),18+,172 min,"Biography, Drama, Family",8.1,"
A young novice is sent by her convent in 1930s Austria to become a governess to the seven children of a widowed naval officer."
7,Lagaan: Once Upon a Time in India,(2001),PG,224 min,"Drama, Musical, Sport",8.1,"
The people of a small village in Victorian India stake their future on a game of cricket against their ruthless British rulers."
8,Sholay,(1975),---,204 min,"Action, Adventure, Comedy",8.1,"
After his family is murdered by a notorious and ruthless bandit, a former police officer enlists the services of two outlaws to capture the bandit."
9,Anand,(1971),---,122 min,"Drama, Musical",8.1,"
The story of a terminally ill man who wishes to live life to the fullest before the inevitable occurs, as told by his best friend."
10,La La Land,(2016),G,128 min,"Comedy, Drama, Music",8.0,"
While navigating their careers in Los Angeles, a pianist and an actress fall in love while attempting to reconcile their aspirations for the future."
11,Aladdin,(1992),G,90 min,"Animation, Adventure, Comedy",8.0,"
A kind-hearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true."
12,Beauty and the Beast,(1991),G,84 min,"Animation, Family, Fantasy",8.0,"
A prince cursed to spend his days as a hideous monster sets out to regain his humanity by earning a young woman's love."
13,Fiddler on the Roof,(1971),---,181 min,"Drama, Family, Musical",8.0,"
In pre-revolutionary Russia, a Jewish peasant with traditional values contends with marrying off three of his daughters with modern romantic ideals while growing anti-Semitic sentiment threatens his village."
14,The Blues Brothers,(1980),G,133 min,"Action, Adventure, Comedy",7.9,"
Jake Blues rejoins with his brother Elwood after being released from prison, but the duo has just days to reunite their old R&B band and save the Catholic home where the two were raised, outrunning the police as they tear through Chicago."
15,The Nightmare Before Christmas,(1993),G,76 min,"Animation, Family, Fantasy",7.9,"
Jack Skellington, king of Halloween Town, discovers Christmas Town, but his attempts to bring Christmas to his home causes confusion."
16,Dancer in the Dark,(2000),R,140 min,"Crime, Drama, Musical",7.9,"
An Eastern European US immigrant with a love for musicals has to cope with the gradual loss of her vision."
17,Kal Ho Naa Ho,(2003),---,186 min,"Comedy, Drama, Musical",7.9,"
Naina, an introverted, perpetually depressed girl's life changes when she meets Aman. But Aman has a secret of his own which changes their lives forever. Embroiled in all this is Rohit, Naina's best friend who conceals his love for her."
18,My Fair Lady,(1964),7+,170 min,"Drama, Family, Musical",7.8,"
In 1910s London, snobbish phonetics professor Henry Higgins agrees to a wager that he can make crude flower girl, Eliza Doolittle, presentable in high society."
