,0,1,2,3,4,5,6
0,Aynabaji,(2016),---,147 min,"Crime, Mystery, Thriller",9.0,"
Ayna is an actor and the prison is his stage. He slips into the characters of the powerful convicted in exchange of money and take their place in prison. This strange profession is borne ...                See full summary »
"
1,Jai Bhim,(2021),16+,164 min,"Crime, Drama, Mystery",8.8,"
When a tribal man is arrested for a case of alleged theft, his wife turns to a human-rights lawyer to help bring justice."
2,Se7en,(1995),13+,127 min,"Crime, Drama, Mystery",8.6,"
Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives."
3,The Green Mile,(1999),18+,189 min,"Crime, Drama, Fantasy",8.6,"
The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape, yet who has a mysterious gift."
4,Sen to Chihiro no kamikakushi,(2001),G,125 min,"Animation, Adventure, Family",8.6,"
During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches and spirits, a world where humans are changed into beasts."
5,Seppuku,(1962),---,133 min,"Action, Drama, Mystery",8.6,"
When a ronin requesting seppuku at a feudal lord's palace is told of the brutal suicide of another ronin who previously visited, he reveals how their pasts are intertwined - and in doing so challenges the clan's integrity."
6,Sita Ramam,(2022),G,163 min,"Action, Drama, Mystery",8.6,"
An orphan soldier, Lieutenant Ram's life changes, after he gets a letter from a girl named Sita. He meets her and love blossoms between them. When he comes back to his camp in Kashmir,After he gets caught in jail, he sends a letter to Sita which won't reach her."
7,The Prestige,(2006),16+,130 min,"Drama, Mystery, Sci-Fi",8.5,"
After a tragic accident, two stage magicians in 1890s London engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other."
8,Psycho,(1960),13+,109 min,"Horror, Mystery, Thriller",8.5,"
A Phoenix secretary embezzles $40,000 from her employer's client, goes on the run and checks into a remote motel run by a young man under the domination of his mother."
9,Apocalypse Now,(1979),18+,147 min,"Drama, Mystery, War",8.5,"
A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god."
10,The Usual Suspects,(1995),18+,106 min,"Crime, Drama, Mystery",8.5,"
A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat, which began when five criminals met at a seemingly random police lineup."
11,Rear Window,(1954),G,112 min,"Mystery, Thriller",8.5,"
A wheelchair-bound photographer spies on his neighbors from his Greenwich Village courtyard apartment window, and becomes convinced one of them has committed murder, despite the skepticism of his fashion-model girlfriend."
12,Oldeuboi,(2003),18+,120 min,"Action, Drama, Mystery",8.4,"
After being kidnapped and imprisoned for fifteen years, Oh Dae-Su is released, only to find that he must find his captor in five days."
13,Memento,(2000),13+,113 min,"Mystery, Thriller",8.4,"
A man with short-term memory loss attempts to track down his wife's murderer."
14,Coco,(I) (2017),7+,105 min,"Animation, Adventure, Comedy",8.4,"
Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer."
15,The Lives of Others,(2006),R,137 min,"Drama, Mystery, Thriller",8.4,"
In 1984 East Berlin, an agent of the secret police, conducting surveillance on a writer and his lover, finds himself becoming increasingly absorbed by their lives."
16,Witness for the Prosecution,(1957),---,116 min,"Crime, Drama, Mystery",8.4,"
A veteran British barrister must defend his client in a murder trial that has surprise after surprise."
17,Tengoku to jigoku,(1963),---,143 min,"Crime, Drama, Mystery",8.4,"
An executive of a Yokohama shoe company becomes a victim of extortion when his chauffeur's son is kidnapped by mistake and held for ransom."
18,Citizen Kane,(1941),7A,119 min,"Drama, Mystery",8.3,"
Following the death of publishing tycoon Charles Foster Kane, reporters scramble to uncover the meaning of his final utterance: 'Rosebud.'"
19,Incendies,(2010),15+,131 min,"Drama, Mystery",8.3,"
Twins journey to the Middle East to discover their family history and fulfill their mother's last wishes."
20,Vertigo,(1958),18+,128 min,"Mystery, Romance, Thriller",8.3,"
A former San Francisco police detective juggles wrestling with his personal demons and becoming obsessed with the hauntingly beautiful woman he has been hired to trail, who may be deeply disturbed."
21,North by Northwest,(1959),13A,136 min,"Action, Adventure, Mystery",8.3,"
A New York City advertising executive goes on the run after being mistaken for a government agent by a group of foreign spies, and falls for a woman whose loyalties he begins to doubt."
22,M - Eine Stadt sucht einen Mörder,(1931),---,117 min,"Crime, Mystery, Thriller",8.3,"
When the police in a German city are unable to catch a child-murderer, other criminals join in the manhunt."
23,Double Indemnity,(1944),---,107 min,"Crime, Drama, Film-Noir",8.3,"
A Los Angeles insurance representative lets an alluring housewife seduce him into a scheme of insurance fraud and murder that arouses the suspicion of his colleague, an insurance investigator."
24,Ratsasan,(2018),---,170 min,"Action, Crime, Drama",8.3,"
A sub-inspector sets out in pursuit of a mysterious serial killer who targets teen school girls and murders them brutally."
25,Shutter Island,(2010),13+,138 min,"Mystery, Thriller",8.2,"
In 1954, a U.S. Marshal investigates the disappearance of a murderer who escaped from a hospital for the criminally insane."
26,The Thing,(1982),18+,109 min,"Horror, Mystery, Sci-Fi",8.2,"
A research team in Antarctica is hunted by a shape-shifting alien that assumes the appearance of its victims."
27,The Sixth Sense,(1999),15+,107 min,"Drama, Mystery, Thriller",8.2,"
A frightened, withdrawn Philadelphia boy who communicates with spirits seeks the help of a disheartened child psychologist."
28,L.A. Confidential,(1997),15+,138 min,"Crime, Drama, Mystery",8.2,"
As corruption grows in 1950s Los Angeles, three policemen - one strait-laced, one brutal, and one sleazy - investigate a series of murders with their own brand of justice."
29,The Father,(I) (2020),10+,97 min,"Drama, Mystery",8.2,"
A man refuses all assistance from his daughter as he ages. As he tries to make sense of his changing circumstances, he begins to doubt his loved ones, his own mind and even the fabric of his reality."
30,Chinatown,(1974),7+,130 min,"Drama, Mystery, Thriller",8.2,"
A private detective hired to expose an adulterer in 1930s Los Angeles finds himself caught up in a web of deceit, corruption, and murder."
31,El secreto de sus ojos,(2009),R,129 min,"Drama, Mystery, Romance",8.2,"
A retired legal counselor writes a novel hoping to find closure for one of his past unresolved homicide cases and for his unreciprocated love with his superior - both of which still haunt him decades later."
32,Drishyam 2,(2022),13+,140 min,"Crime, Drama, Mystery",8.2,"
A gripping tale of an investigation and a family which is threatened by it. Will Vijay Salgaonkar be able to protect his family this time?"
33,Rashômon,(1950),---,88 min,"Crime, Drama, Mystery",8.2,"
The rape of a bride and the murder of her samurai husband are recalled from the perspectives of a bandit, the bride, the samurai's ghost and a woodcutter."
34,Andhadhun,(2018),16+,139 min,"Crime, Mystery, Thriller",8.2,"
A series of mysterious events change the life of a blind pianist, who must now report a crime that he should technically know nothing of."
35,Drishyam,(2015),13+,163 min,"Crime, Drama, Mystery",8.2,"
Desperate measures are taken by a man who tries to save his family from the dark side of the law, after they commit an unexpected crime."
36,Prisoners,(2013),15A,153 min,"Crime, Drama, Mystery",8.1,"
When Keller Dover's daughter and her friend go missing, he takes matters into his own hands as the police pursue multiple leads and the pressure mounts."
37,Gone Girl,(2014),18+,149 min,"Drama, Mystery, Thriller",8.1,"
With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent."
