,0,1,2,3,4,5,6
0,Forrest Gump,(1994),7+,142 min,"Drama, Romance",8.8,"
The presidencies of Kennedy and Johnson, the Vietnam War, the Watergate scandal and other historical events unfold from the perspective of an Alabama man with an IQ of 75, whose only desire is to be reunited with his childhood sweetheart."
1,La vita è bella,(1997),13+,116 min,"Comedy, Drama, Romance",8.6,"
When an open-minded Jewish waiter and his son become victims of the Holocaust, he uses a perfect mixture of will, humor and imagination to protect his son from the dangers around their camp."
2,It's a Wonderful Life,(1946),7+,130 min,"Drama, Family, Fantasy",8.6,"
An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed."
3,Sita Ramam,(2022),G,163 min,"Action, Drama, Mystery",8.6,"
An orphan soldier, Lieutenant Ram's life changes, after he gets a letter from a girl named Sita. He meets her and love blossoms between them. When he comes back to his camp in Kashmir,After he gets caught in jail, he sends a letter to Sita which won't reach her."
4,Casablanca,(1942),G,102 min,"Drama, Romance, War",8.5,"
A cynical expatriate American cafe owner struggles to decide whether or not to help his former lover and her fugitive husband escape the Nazis in French Morocco."
5,Nuovo Cinema Paradiso,(1988),15+,155 min,"Drama, Romance",8.5,"
A filmmaker recalls his childhood when falling in love with the pictures at the cinema of his home village and forms a deep friendship with the cinema's projectionist."
6,Modern Times,(1936),---,87 min,"Comedy, Drama, Romance",8.5,"
The Tramp struggles to live in modern industrial society with the help of a young homeless woman."
7,City Lights,(1931),G,87 min,"Comedy, Drama, Romance",8.5,"
With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically."
8,96,(II) (2018),---,158 min,"Drama, Romance",8.5,"
Two high school sweethearts meet at a reunion after 22 years and reminisce about their past."
9,Kimi no na wa.,(2016),7+,106 min,"Animation, Drama, Fantasy",8.4,"
Two strangers find themselves linked in a bizarre way. When a connection forms, will distance be the only thing to keep them apart?"
10,Dil Bechara,(2020),---,101 min,"Comedy, Drama, Romance",8.4,"
The emotional journey of two hopelessly-in-love youngsters; a young girl, Kizie, who is suffering from cancer; and Manny, a boy Kizie meets at a support group."
11,Good Will Hunting,(1997),7+,126 min,"Drama, Romance",8.3,"
Will Hunting, a janitor at M.I.T., has a gift for mathematics, but needs help from a psychologist to find direction in his life."
12,Eternal Sunshine of the Spotless Mind,(2004),16+,108 min,"Drama, Romance, Sci-Fi",8.3,"
When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories for ever."
13,Le fabuleux destin d'Amélie Poulain,(2001),13+,122 min,"Comedy, Romance",8.3,"
Amélie is an innocent and naive girl in Paris with her own sense of justice. She decides to help those around her and, along the way, discovers love."
14,Vertigo,(1958),18+,128 min,"Mystery, Romance, Thriller",8.3,"
A former San Francisco police detective juggles wrestling with his personal demons and becoming obsessed with the hauntingly beautiful woman he has been hired to trail, who may be deeply disturbed."
15,Singin' in the Rain,(1952),G,103 min,"Comedy, Musical, Romance",8.3,"
A silent film star falls for a chorus girl just as he and his delusionally jealous screen partner are trying to make the difficult transition to talking pictures in 1920s Hollywood."
16,The Apartment,(1960),---,125 min,"Comedy, Drama, Romance",8.3,"
A Manhattan insurance clerk tries to rise in his company by letting its executives use his apartment for trysts, but complications and a romance of his own ensue."
17,Chhichhore,(2019),---,143 min,"Comedy, Drama, Romance",8.3,"
A tragic incident forces Anirudh, a middle-aged man, to take a trip down memory lane and reminisce his college days along with his friends, who were labelled as losers."
18,Gone with the Wind,(1939),G,238 min,"Drama, Romance, War",8.2,"
American motion picture classic in which a manipulative woman and a roguish man conduct a turbulent romance during the Civil War and Reconstruction periods."
19,Some Like It Hot,(1959),---,121 min,"Comedy, Music, Romance",8.2,"
After two male musicians witness a mob hit, they flee the state in an all-female band disguised as women, but further complications set in."
20,El secreto de sus ojos,(2009),R,129 min,"Drama, Mystery, Romance",8.2,"
A retired legal counselor writes a novel hoping to find closure for one of his past unresolved homicide cases and for his unreciprocated love with his superior - both of which still haunt him decades later."
21,Zindagi Na Milegi Dobara,(2011),---,155 min,"Comedy, Drama, Musical",8.2,"
Three friends decide to turn their fantasy vacation into reality after one of their friends gets engaged."
22,To Be or Not to Be,(1942),---,99 min,"Comedy, Romance, War",8.2,"
During the Nazi occupation of Poland, an acting troupe becomes embroiled in a Polish soldier's efforts to track down a German spy."
23,Sherlock Jr.,(1924),---,45 min,"Action, Comedy, Romance",8.2,"
A film projectionist longs to be a detective, and puts his meagre skills to work when he is framed by a rival for stealing his girlfriend's father's pocketwatch."
