,0,1,2,3,4,5,6
0,Dangal,(2016),7+,161 min,"Action, Biography, Drama",8.3,"
Former wrestler Mahavir Singh Phogat and his two wrestler daughters struggle towards glory at the Commonwealth Games in the face of societal oppression."
1,Warrior,(2011),PG-13,140 min,"Action, Drama, Sport",8.2,"
The youngest son of an alcoholic former boxer returns home, where he's trained by his father for competition in a mixed martial arts tournament - a path that puts the fighter on a collision course with his estranged, older brother."
2,Bacheha-Ye aseman,(1997),PG,89 min,"Drama, Family, Sport",8.2,"
After a boy loses his sister's pair of shoes, he goes on a series of adventures in order to find them. When he can't, he tries a new way to ""win"" a new pair."
3,Bhaag Milkha Bhaag,(2013),---,186 min,"Biography, Drama, Sport",8.2,"
The truth behind the ascension of Milkha Singh, who was scarred by of the India-Pakistan partition."
4,Paan Singh Tomar,(2012),---,135 min,"Action, Biography, Crime",8.2,"
The story of Paan Singh Tomar, an Indian athlete and seven-time national steeplechase champion who becomes one of the most feared dacoits in Chambal Valley after his retirement."
5,Rocky,(1976),7A,120 min,"Drama, Sport",8.1,"
A small-time Philadelphia boxer gets a supremely rare chance to fight the world heavyweight champion in a bout in which he strives to go the distance for his self-respect."
6,Ford v Ferrari,(2019),10A,152 min,"Action, Biography, Drama",8.1,"
American car designer Carroll Shelby and driver Ken Miles battle corporate interference and the laws of physics to build a revolutionary race car for Ford in order to defeat Ferrari at the 24 Hours of Le Mans in 1966."
7,Raging Bull,(1980),15+,129 min,"Biography, Drama, Sport",8.1,"
The life of boxer Jake LaMotta, whose violence and temper that led him to the top in the ring destroyed his life outside of it."
8,Rush,(I) (2013),13+,123 min,"Action, Biography, Drama",8.1,"
The merciless 1970s rivalry between Formula One rivals James Hunt and Niki Lauda."
9,Million Dollar Baby,(2004),7+,132 min,"Drama, Sport",8.1,"
A determined woman works with a hardened boxing trainer to become a professional."
10,Lagaan: Once Upon a Time in India,(2001),PG,224 min,"Drama, Musical, Sport",8.1,"
The people of a small village in Victorian India stake their future on a game of cricket against their ruthless British rulers."
11,Chak De! India,(2007),---,153 min,"Drama, Family, Sport",8.1,"
Kabir Khan, the coach of the Indian Women's National Hockey Team, dreams of making his all-girls team emerge victorious against all odds."
12,Cinderella Man,(2005),7+,144 min,"Biography, Drama, Romance",8.0,"
The story of James J. Braddock, a supposedly washed-up boxer who came back to challenge for the heavyweight championship of the world."
13,The Hustler,(1961),---,134 min,"Drama, Sport",8.0,"
An up-and-coming pool player plays a long-time champion in a single high-stakes match."
14,The Wrestler,(2008),18+,109 min,"Drama, Sport",7.9,"
A faded professional wrestler must retire, but finds his quest for a new life outside the ring a dispiriting struggle."
15,M.S. Dhoni: The Untold Story,(2016),---,184 min,"Biography, Drama, Sport",7.9,"
The untold story of Mahendra Singh Dhoni's journey from ticket collector to trophy collector - the world-cup-winning captain of the Indian Cricket Team."
16,The Sandlot,(1993),PG,101 min,"Comedy, Drama, Family",7.8,"
In the summer of 1962, a new kid in town is taken under the wing of a young baseball prodigy and his rowdy team, resulting in many adventures."
17,Remember the Titans,(2000),G,113 min,"Biography, Drama, Sport",7.8,"
The true story of a newly appointed African-American coach and his high school team on their first season as a racially integrated unit."
18,The Fighter,(I) (2010),15+,116 min,"Action, Biography, Drama",7.8,"
Based on the story of Micky Ward, a fledgling boxer who tries to escape the shadow of his more famous but troubled older boxing brother and get his own shot at greatness."
19,The World's Fastest Indian,(2005),PG-13,127 min,"Biography, Drama, Sport",7.8,"
The story of New Zealander Burt Munro, who spent years rebuilding a 1920 Indian motorcycle, which helped him set the land speed world record at Utah's Bonneville Salt Flats in 1967."
20,Kai po che!,(2013),---,130 min,"Drama, Sport",7.8,"
Three friends growing up in India at the turn of the millennium set out to open a training academy to produce the country's next cricket stars."
21,Les triplettes de Belleville,(2003),PG-13,80 min,"Animation, Adventure, Comedy",7.7,"
When her grandson is kidnapped during the Tour de France, Madame Souza and her beloved pooch Bruno team up with the Belleville Sisters--an aged song-and-dance team from the days of Fred Astaire--to rescue him."
22,Creed,(II) (2015),13+,133 min,"Action, Drama, Sport",7.6,"
The former World Heavyweight Champion Rocky Balboa serves as a trainer and mentor to Adonis Johnson, the son of his late friend and former rival Apollo Creed."
23,Moneyball,(2011),13+,133 min,"Biography, Drama, Sport",7.6,"
Oakland A's general manager Billy Beane's successful attempt to assemble a baseball team on a lean budget by employing computer-generated analysis to acquire new players."
24,The Blind Side,(2009),13+,129 min,"Biography, Drama, Sport",7.6,"
The story of Michael Oher, a homeless and traumatized boy who became an All-American football player and first-round NFL draft pick with the help of a caring woman and her family."
25,The Hurricane,(1999),R,146 min,"Biography, Drama, Sport",7.6,"
The story of Rubin 'Hurricane' Carter, a boxer wrongly imprisoned for murder, and the people who aided in his fight to prove his innocence."
26,42,(2013),PG-13,128 min,"Biography, Drama, Sport",7.5,"
In 1947, Jackie Robinson becomes the first African-American to play in Major League Baseball in the modern era when he was signed by the Brooklyn Dodgers and faces considerable racism in the process."
27,"I, Tonya",(2017),15+,119 min,"Biography, Comedy, Drama",7.5,"
Competitive ice skater Tonya Harding rises amongst the ranks at the U.S. Figure Skating Championships, but her future in the activity is thrown into doubt when her ex-husband intervenes."
28,Field of Dreams,(1989),G,107 min,"Drama, Family, Fantasy",7.5,"
Iowa farmer Ray Kinsella is inspired by a voice he can't ignore to pursue a dream he can hardly believe. Supported by his wife, Ray begins the quest by turning his ordinary cornfield into a place where dreams can come true."
