,0,1,2,3,4,5,6
0,The Godfather,(1972),18+,175 min,"Crime, Drama",9.2,"
The aging patriarch of an organized crime dynasty in postwar New York City transfers control of his clandestine empire to his reluctant youngest son."
1,The Dark Knight,(2008),16+,152 min,"Action, Crime, Drama",9.0,"
When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice."
2,12 Angry Men,(1957),15+,96 min,"Crime, Drama",9.0,"
The jury in a New York City murder trial is frustrated by a single member whose skeptical caution forces them to more carefully consider the evidence before jumping to a hasty verdict."
3,The Godfather Part II,(1974),18+,202 min,"Crime, Drama",9.0,"
The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate."
4,Aynabaji,(2016),---,147 min,"Crime, Mystery, Thriller",9.0,"
Ayna is an actor and the prison is his stage. He slips into the characters of the powerful convicted in exchange of money and take their place in prison. This strange profession is borne ...                See full summary »
"
5,Pulp Fiction,(1994),18+,154 min,"Crime, Drama",8.9,"
The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption."
6,Jai Bhim,(2021),16+,164 min,"Crime, Drama, Mystery",8.8,"
When a tribal man is arrested for a case of alleged theft, his wife turns to a human-rights lawyer to help bring justice."
7,GoodFellas,(1990),18+,145 min,"Biography, Crime, Drama",8.7,"
The story of Henry Hill and his life in the mob, covering his relationship with his wife Karen Hill and his mob partners Jimmy Conway and Tommy DeVito in the Italian-American crime syndicate."
8,Se7en,(1995),13+,127 min,"Crime, Drama, Mystery",8.6,"
Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives."
9,The Silence of the Lambs,(1991),18+,118 min,"Crime, Drama, Thriller",8.6,"
A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims."
10,The Green Mile,(1999),18+,189 min,"Crime, Drama, Fantasy",8.6,"
The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape, yet who has a mysterious gift."
11,Cidade de Deus,(2002),18+,130 min,"Crime, Drama",8.6,"
In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin."
12,The Departed,(2006),18+,151 min,"Crime, Drama, Thriller",8.5,"
An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston."
13,Léon,(1994),18+,110 min,"Action, Crime, Drama",8.5,"
12-year-old Mathilda is reluctantly taken in by Léon, a professional assassin, after her family is murdered. An unusual relationship forms as she becomes his protégée and learns the assassin's trade."
14,American History X,(1998),18+,119 min,"Crime, Drama",8.5,"
A former neo-nazi skinhead tries to prevent his younger brother from going down the same wrong path that he did."
