,0,1,2,3,4,5,6
0,The Dark Knight,(2008),16+,152 min,"Action, Crime, Drama",9.0,"
When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice."
1,Aynabaji,(2016),---,147 min,"Crime, Mystery, Thriller",9.0,"
Ayna is an actor and the prison is his stage. He slips into the characters of the powerful convicted in exchange of money and take their place in prison. This strange profession is borne ...                See full summary »
"
2,Inception,(2010),13+,148 min,"Action, Adventure, Sci-Fi",8.8,"
A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster."
3,Se7en,(1995),13+,127 min,"Crime, Drama, Mystery",8.6,"
Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives."
4,The Silence of the Lambs,(1991),18+,118 min,"Crime, Drama, Thriller",8.6,"
A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims."
5,Gisaengchung,(2019),15+,132 min,"Drama, Thriller",8.5,"
Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan."
6,The Departed,(2006),18+,151 min,"Crime, Drama, Thriller",8.5,"
An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston."
7,Léon,(1994),18+,110 min,"Action, Crime, Drama",8.5,"
12-year-old Mathilda is reluctantly taken in by Léon, a professional assassin, after her family is murdered. An unusual relationship forms as she becomes his protégée and learns the assassin's trade."
8,The Prestige,(2006),16+,130 min,"Drama, Mystery, Sci-Fi",8.5,"
After a tragic accident, two stage magicians in 1890s London engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other."
9,Psycho,(1960),13+,109 min,"Horror, Mystery, Thriller",8.5,"
A Phoenix secretary embezzles $40,000 from her employer's client, goes on the run and checks into a remote motel run by a young man under the domination of his mother."
10,The Usual Suspects,(1995),18+,106 min,"Crime, Drama, Mystery",8.5,"
A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat, which began when five criminals met at a seemingly random police lineup."
11,Rear Window,(1954),G,112 min,"Mystery, Thriller",8.5,"
A wheelchair-bound photographer spies on his neighbors from his Greenwich Village courtyard apartment window, and becomes convinced one of them has committed murder, despite the skepticism of his fashion-model girlfriend."
12,Kaithi,(2019),---,145 min,"Action, Adventure, Crime",8.5,"
Dilli, an ex-convict, endeavours to meet his daughter for the first time after leaving prison. However, his attempts are interrupted due to a drug raid planned by Inspector Bejoy."
13,Joker,(I) (2019),18+,122 min,"Crime, Drama, Thriller",8.4,"
The rise of Arthur Fleck, from aspiring stand-up comedian and pariah to Gotham's clown prince and leader of the revolution."
14,Oldeuboi,(2003),18+,120 min,"Action, Drama, Mystery",8.4,"
After being kidnapped and imprisoned for fifteen years, Oh Dae-Su is released, only to find that he must find his captor in five days."
15,The Dark Knight Rises,(2012),13A,164 min,"Action, Drama, Thriller",8.4,"
Eight years after the Joker's reign of chaos, Batman is coerced out of exile with the assistance of the mysterious Selina Kyle in order to defend Gotham City from the vicious guerrilla terrorist Bane."
16,Aliens,(1986),18+,137 min,"Action, Adventure, Sci-Fi",8.4,"
Decades after surviving the Nostromo incident, Ellen Ripley is sent out to re-establish contact with a terraforming colony but finds herself battling the Alien Queen and her offspring."
17,Idi i smotri,(1985),---,142 min,"Drama, Thriller, War",8.4,"
After finding an old rifle, a young boy joins the Soviet resistance movement against ruthless German forces and experiences the horrors of World War II."
18,Memento,(2000),13+,113 min,"Mystery, Thriller",8.4,"
A man with short-term memory loss attempts to track down his wife's murderer."
19,The Lives of Others,(2006),R,137 min,"Drama, Mystery, Thriller",8.4,"
In 1984 East Berlin, an agent of the secret police, conducting surveillance on a writer and his lover, finds himself becoming increasingly absorbed by their lives."
20,Witness for the Prosecution,(1957),---,116 min,"Crime, Drama, Mystery",8.4,"
A veteran British barrister must defend his client in a murder trial that has surprise after surprise."
