,0,1,2,3,4,5,6
0,Saving Private Ryan,(1998),13+,169 min,"Drama, War",8.6,"
Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action."
1,La vita è bella,(1997),13+,116 min,"Comedy, Drama, Romance",8.6,"
When an open-minded Jewish waiter and his son become victims of the Holocaust, he uses a perfect mixture of will, humor and imagination to protect his son from the dangers around their camp."
2,Apocalypse Now,(1979),18+,147 min,"Drama, Mystery, War",8.5,"
A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god."
3,The Pianist,(2002),18+,150 min,"Biography, Drama, Music",8.5,"
A Polish Jewish musician struggles to survive the destruction of the Warsaw ghetto of World War II."
4,Casablanca,(1942),G,102 min,"Drama, Romance, War",8.5,"
A cynical expatriate American cafe owner struggles to decide whether or not to help his former lover and her fugitive husband escape the Nazis in French Morocco."
5,Hotaru no haka,(1988),---,89 min,"Animation, Drama, War",8.5,"
A young boy and his little sister struggle to survive in Japan during World War II."
6,Idi i smotri,(1985),---,142 min,"Drama, Thriller, War",8.4,"
After finding an old rifle, a young boy joins the Soviet resistance movement against ruthless German forces and experiences the horrors of World War II."
7,Braveheart,(1995),13+,178 min,"Biography, Drama, History",8.4,"
Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England."
8,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,(1964),18+,95 min,"Comedy, War",8.4,"
An insane American general orders a bombing attack on the Soviet Union, triggering a path to nuclear holocaust that a war room full of politicians and generals frantically tries to stop."
9,Das Boot,(1981),15+,149 min,"Drama, War",8.4,"
A German U-boat stalks the frigid waters of the North Atlantic as its young crew experience the sheer terror and claustrophobic life of a submariner in World War II."
10,Paths of Glory,(1957),15+,88 min,"Drama, War",8.4,"
After refusing to attack an enemy position, a general accuses the soldiers of cowardice and their commanding officer must defend them."
11,The Great Dictator,(1940),---,125 min,"Comedy, Drama, War",8.4,"
Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime."
12,Inglourious Basterds,(2009),15+,153 min,"Adventure, Drama, War",8.3,"
In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same."
13,Full Metal Jacket,(1987),18+,116 min,"Drama, War",8.3,"
A pragmatic U.S. Marine observes the dehumanizing effects the Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue."
14,Lawrence of Arabia,(1962),13A,218 min,"Adventure, Biography, Drama",8.3,"
The story of T.E. Lawrence, the English officer who successfully united and led the diverse, often warring, Arab tribes during World War I in order to fight the Turks."
15,Judgment at Nuremberg,(1961),---,179 min,"Drama, War",8.3,"
In 1948, an American court in occupied Germany tries four Nazis judged for war crimes."
16,Shershaah,(2021),13+,135 min,"Action, Biography, Drama",8.3,"
Shershaah is the story of PVC awardee Indian soldier Capt. Vikram Batra, whose bravery and unflinching courage in chasing the Pakistani soldiers out of Indian territory contributed immensely in India finally winning the Kargil War in 1999."
17,Ayla: The Daughter of War,(2017),7+,125 min,"Biography, Drama, History",8.3,"
In 1950, amidst the ravages of the Korean War, Sergeant Süleyman stumbles upon a half-frozen little girl with no parents, and no help in sight. Frantic, scared and on the verge of death, ...                See full summary »
"
18,1917,(2019),16+,119 min,"Action, Drama, War",8.2,"
April 6th, 1917. As an infantry battalion assembles to wage war deep in enemy territory, two soldiers are assigned to race against time and deliver a message that will stop 1,600 men from walking straight into a deadly trap."
19,Pan's Labyrinth,(2006),13+,118 min,"Drama, Fantasy, War",8.2,"
In the Falangist Spain of 1944, the bookish young stepdaughter of a sadistic army officer escapes into an eerie but captivating fantasy world."
20,Gone with the Wind,(1939),G,238 min,"Drama, Romance, War",8.2,"
American motion picture classic in which a manipulative woman and a roguish man conduct a turbulent romance during the Civil War and Reconstruction periods."
21,Der Untergang,(2004),7+,156 min,"Biography, Drama, History",8.2,"
Traudl Junge, the final secretary for Adolf Hitler, tells of the Nazi dictator's final days in his Berlin bunker at the end of WWII."
22,Ran,(1985),7+,162 min,"Action, Drama, War",8.2,"
In Medieval Japan, an elderly warlord retires, handing over his empire to his three sons. However, he vastly underestimates how the new-found power will corrupt them and cause them to turn on each other...and him."
