,0,1,2,3,4,5,6
0,"Il buono, il brutto, il cattivo",(1966),15+,161 min,"Adventure, Western",8.8,"
A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery."
1,Once Upon a Time in the West,(1968),7+,165 min,Western,8.5,"
A mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad."
2,Django Unchained,(2012),18+,165 min,"Drama, Western",8.4,"
With the help of a German bounty-hunter, a freed slave sets out to rescue his wife from a brutal plantation owner in Mississippi."
3,Unforgiven,(1992),18+,130 min,"Drama, Western",8.2,"
Retired Old West gunslinger William Munny reluctantly takes on one last job, with the help of his old partner Ned Logan and a young man, The ""Schofield Kid."""
4,Per qualche dollaro in più,(1965),15+,132 min,Western,8.2,"
Two bounty hunters with the same intentions team up to track down an escaped Mexican outlaw."
5,The Treasure of the Sierra Madre,(1948),---,126 min,"Adventure, Drama, Western",8.2,"
Two down-on-their-luck Americans searching for work in 1920s Mexico convince an old prospector to help them mine for gold in the Sierra Madre Mountains."
6,The Man Who Shot Liberty Valance,(1962),---,123 min,"Drama, Western",8.1,"
A senator returns to a Western town for the funeral of an old friend and tells the story of his origins."
7,The Gold Rush,(1925),---,95 min,"Adventure, Comedy, Drama",8.1,"
A prospector goes to the Klondike during the 1890s gold rush in hopes of making his fortune, and is smitten with a girl he sees in a dance hall."
8,Sholay,(1975),---,204 min,"Action, Adventure, Comedy",8.1,"
After his family is murdered by a notorious and ruthless bandit, a former police officer enlists the services of two outlaws to capture the bandit."
9,Rio Bravo,(1959),---,141 min,"Drama, Western",8.0,"
A small-town sheriff in the American West enlists the help of a disabled man, a drunk, and a young gunfighter in his efforts to hold in jail the brother of the local bad guy."
10,The Revenant,(2015),15+,156 min,"Action, Adventure, Drama",8.0,"
A frontiersman on a fur trading expedition in the 1820s fights for survival after being mauled by a bear and left for dead by members of his own hunting team."
11,Dances with Wolves,(1990),13+,181 min,"Adventure, Drama, Western",8.0,"
Lieutenant John Dunbar, assigned to a remote western Civil War outpost, finds himself engaging with a neighbouring Sioux settlement, causing him to question his own purpose."
12,Butch Cassidy and the Sundance Kid,(1969),7+,110 min,"Biography, Crime, Drama",8.0,"
Wyoming, early 1900s. Butch Cassidy and The Sundance Kid are the leaders of a band of outlaws. After a train robbery goes wrong they find themselves on the run with a posse hard on their heels. Their solution - escape to Bolivia."
